Year,Quarter,Region,Model,Units Delivered,Average Price (USD),Production Delay (Days),Battery Type,Drive Type,Color,Range (KM),Charging Time (Min),Efficiency (kWh/100km),CO2 Saved (Tons),Avg Customer Rating,Warranty (Years),Number of Recalls,Software Version,Autopilot Enabled,Total Miles Driven,Update Frequency (Per Year),Battery Replacement Rate,Service Visits (Per Year),Resale Value (%)
2021,Q3,South America,Model X,4283,40893.59,0,Performance,AWD,Blue,404,31,24.86,10033.81,4.18,8,0,2020.8,False,1961629,12,0.0532,1.65,69.3
2015,Q2,North America,Model Y,4373,43777.39,59,Standard,RWD,Red,643,75,22.11,9464.46,4.99,6,0,2021.2,False,2504292,6,0.0178,2.44,70.7
2021,Q4,Australia,Model X,1913,54750.78,42,Performance,RWD,Green,639,76,17.89,3639.79,4.01,5,1,2024.2,False,322413,5,0.0754,1.22,87.21
2024,Q1,Asia,Cybertruck,4847,84606.6,24,Performance,RWD,White,459,76,17.63,3506.01,4.61,8,3,2021.2,False,1915763,11,0.0882,2.03,80.83
2014,Q3,South America,Model Y,1297,113973.03,12,Performance,RWD,Silver,542,84,16.95,2363.79,4.75,5,3,2023.9,False,875852,6,0.0731,2.48,88.77
2016,Q2,North America,Model Y,3249,72427.07,2,Long Range,AWD,White,536,65,20.69,4728.54,3.84,6,3,2024.3,True,1118671,8,0.0223,0.55,80.92
2021,Q2,Asia,Model X,3270,60692.07,13,Performance,RWD,Red,402,90,16.55,8025.76,4.47,6,3,2020.4,True,2201660,12,0.0219,1.89,89.47
2023,Q4,Australia,Semi,4827,117014.69,23,Long Range,AWD,Silver,682,33,16.95,8409.97,3.76,4,0,2020.11,True,1031856,12,0.0794,0.61,84.54
2018,Q1,Australia,Model S,4845,74072.21,35,Long Range,RWD,Green,669,70,19.17,3772.46,3.63,5,0,2020.11,True,1720824,10,0.0868,1.83,71.26
2021,Q1,South America,Model Y,3966,45867.82,43,Standard,AWD,Red,485,72,16.15,2973.46,4.51,8,1,2023.6,False,3614750,3,0.0645,0.75,62.15
2020,Q2,Europe,Model S,3414,53132.45,5,Performance,RWD,White,412,60,17.61,6063.78,4.44,5,0,2021.4,False,2296124,3,0.0721,1.37,67.16
2020,Q2,Asia,Semi,4891,40620.0,54,Long Range,RWD,White,357,83,15.93,4649.66,4.37,4,1,2021.6,True,4576667,4,0.0897,1.77,72.07
2019,Q1,Europe,Model Y,4985,55433.98,37,Long Range,RWD,Black,445,50,15.22,8623.06,4.64,6,2,2024.5,True,3700429,10,0.0492,0.73,89.16
2013,Q1,Asia,Model 3,1858,38938.23,16,Standard,AWD,White,637,61,18.75,4053.83,3.98,6,0,2023.12,True,4138961,10,0.0531,1.72,65.15
2017,Q1,Europe,Model S,2232,116135.02,15,Long Range,AWD,Red,561,41,23.64,5431.02,4.09,4,1,2021.4,False,4367452,6,0.0165,2.09,65.26
2017,Q3,South America,Cybertruck,4701,115867.97,29,Standard,RWD,Silver,450,68,22.97,11533.86,4.78,6,2,2020.10,True,2237886,9,0.0342,0.67,61.93
2022,Q2,Australia,Model Y,147,53565.53,33,Long Range,AWD,White,551,71,18.56,200.24,3.66,6,2,2021.4,True,356936,2,0.0589,1.22,88.69
2012,Q2,South America,Model 3,2120,119509.23,35,Standard,RWD,Black,437,81,14.33,4825.02,4.52,5,0,2021.11,False,2025418,8,0.0983,2.02,68.72
2017,Q2,Europe,Model S,3916,46367.42,4,Performance,RWD,Red,631,48,14.65,5638.73,4.74,4,3,2021.8,False,1856076,12,0.0456,0.63,78.74
2023,Q3,Asia,Model X,798,93176.65,1,Standard,RWD,Red,366,62,14.38,883.51,4.31,6,1,2021.7,True,1844756,2,0.0112,1.34,89.88
2014,Q2,Europe,Model X,363,48050.96,41,Performance,AWD,Red,447,72,16.26,284.84,4.73,6,1,2023.6,True,4917708,3,0.0983,2.04,64.25
2020,Q1,South America,Model S,3454,95304.46,14,Standard,RWD,Blue,663,54,23.03,4982.36,4.51,4,1,2021.1,False,3235798,6,0.0919,0.63,60.57
2013,Q4,Australia,Model X,4803,74466.16,1,Performance,RWD,White,519,65,13.33,5563.77,4.48,8,3,2022.3,False,1525697,10,0.0103,0.76,62.88
2017,Q1,Asia,Model S,3391,87298.28,45,Long Range,AWD,Green,449,37,16.96,2797.09,4.0,5,1,2021.3,True,2821073,10,0.0854,0.89,73.68
2019,Q3,Europe,Model X,2270,97914.45,44,Performance,RWD,Blue,557,41,24.26,4522.53,4.51,6,0,2020.2,True,2864986,4,0.0835,1.14,80.57
2014,Q4,Australia,Semi,4500,81933.88,11,Long Range,AWD,Black,392,58,16.32,7538.05,4.95,4,2,2022.9,True,4050093,3,0.0853,1.36,83.98
2016,Q2,Europe,Cybertruck,1853,66277.98,44,Long Range,RWD,Green,536,68,23.55,1093.99,4.6,6,3,2023.6,False,4260123,11,0.0647,2.21,63.21
2015,Q4,South America,Cybertruck,1880,36557.32,19,Long Range,RWD,Blue,423,58,23.49,2162.52,4.8,4,0,2023.1,False,4551053,11,0.0518,2.4,83.94
2013,Q3,Europe,Model 3,1002,101009.95,12,Long Range,RWD,Red,353,88,19.17,1046.68,4.15,4,1,2024.11,True,158992,12,0.099,1.49,71.71
2013,Q1,Europe,Semi,4737,86365.33,40,Long Range,AWD,Blue,403,70,23.88,5479.38,4.09,4,1,2021.9,False,4638263,10,0.0709,2.27,64.37
2017,Q4,South America,Semi,909,81418.35,49,Long Range,AWD,Silver,589,55,21.36,547.49,4.86,4,0,2023.4,False,2487122,11,0.0624,1.72,83.49
2023,Q3,Asia,Model X,3839,93139.24,41,Performance,RWD,White,491,37,23.2,2251.3,4.1,5,3,2021.7,False,2489153,12,0.0309,2.04,84.91
2021,Q1,Australia,Model S,2172,56206.28,37,Performance,AWD,Silver,614,51,24.46,3852.39,4.79,4,3,2024.12,False,3152398,10,0.087,1.4,82.69
2022,Q4,Asia,Model Y,4573,41123.69,30,Performance,RWD,Black,506,73,13.47,9978.36,4.54,4,3,2020.11,False,4006505,8,0.0185,2.34,79.1
2015,Q3,North America,Semi,71,76814.01,34,Standard,RWD,Silver,430,39,15.29,137.1,4.25,6,0,2021.4,False,4979173,11,0.0644,0.76,76.63
2022,Q1,Europe,Model 3,762,100023.24,8,Performance,RWD,White,450,40,18.5,858.87,4.51,6,0,2022.10,False,1407575,6,0.0635,0.61,64.19
2014,Q2,Asia,Model Y,4041,41361.11,27,Performance,RWD,Red,649,45,21.52,4557.95,4.02,8,0,2021.1,True,3548332,3,0.0523,0.65,72.54
2016,Q3,Asia,Cybertruck,2295,102942.26,51,Long Range,AWD,Black,405,65,19.76,5403.22,4.4,5,3,2020.7,False,348837,9,0.0761,0.71,64.61
2014,Q2,North America,Model X,3213,60163.37,26,Performance,RWD,Black,693,30,24.24,3990.41,3.99,6,2,2020.3,False,1880448,7,0.0486,1.5,74.62
2020,Q3,Europe,Model 3,1171,76493.48,54,Standard,AWD,White,697,82,17.93,653.96,3.77,5,3,2024.7,True,3657515,11,0.0116,2.39,65.51
2012,Q4,Asia,Model X,241,69034.94,29,Performance,AWD,Blue,679,90,23.99,131.95,4.58,6,0,2021.1,True,1838173,11,0.0864,1.01,78.35
2019,Q4,South America,Model Y,1390,112550.98,24,Standard,AWD,Silver,682,42,21.23,2793.65,4.73,4,1,2024.7,True,1043507,2,0.0865,0.95,74.41
2014,Q2,Australia,Model S,505,111305.82,8,Standard,AWD,Green,587,58,21.98,436.15,4.67,6,2,2024.9,False,4218769,10,0.0582,1.39,65.0
2020,Q2,North America,Model Y,1635,47811.7,44,Performance,AWD,Red,435,56,24.71,2627.14,4.85,6,3,2023.6,False,1252210,6,0.0542,0.53,77.04
2023,Q1,Australia,Model X,3654,48228.68,40,Long Range,RWD,Black,535,59,15.61,5847.22,4.54,8,3,2024.9,False,218229,9,0.0103,1.89,78.18
2018,Q3,Australia,Model Y,3803,100912.07,3,Long Range,AWD,Black,664,62,19.0,5352.8,4.88,6,1,2023.9,True,1243626,10,0.0817,0.79,72.03
2023,Q1,Australia,Model X,1029,72191.48,0,Long Range,AWD,Blue,388,71,19.19,1387.6,4.0,8,0,2021.2,False,3270884,6,0.1,2.44,77.32
2017,Q1,Europe,Model Y,4822,79514.22,57,Standard,AWD,White,418,65,21.22,4708.42,4.06,6,0,2023.1,True,4938556,11,0.0177,1.73,80.43
2020,Q1,South America,Model Y,72,114131.77,7,Long Range,AWD,Green,613,79,21.69,93.66,4.81,4,2,2021.1,False,4020326,12,0.0193,2.4,74.14
2016,Q1,Asia,Model 3,1892,71095.15,35,Performance,RWD,Green,576,68,17.55,3592.48,4.47,6,3,2020.11,True,2847462,3,0.0182,2.35,77.12
2012,Q1,Australia,Model S,919,77190.78,47,Long Range,AWD,Green,440,30,17.47,732.62,4.5,8,1,2021.12,True,374912,3,0.0111,1.85,78.6
2019,Q3,South America,Cybertruck,3927,57867.58,29,Performance,RWD,Green,467,85,20.19,4486.92,4.8,8,2,2022.3,False,1369598,8,0.0697,1.86,82.91
2016,Q2,North America,Model X,733,69379.4,7,Long Range,AWD,Blue,499,32,24.29,1520.1,4.78,4,1,2021.8,True,3825704,8,0.0817,1.29,77.2
2024,Q4,Australia,Cybertruck,993,98201.1,57,Long Range,AWD,Silver,513,51,18.96,672.07,4.69,6,0,2022.9,False,3379823,10,0.0558,1.05,77.65
2012,Q1,Europe,Model X,4173,69065.26,18,Performance,AWD,Green,532,58,16.07,4846.53,4.35,8,1,2021.5,False,2142512,7,0.0231,1.38,77.73
2013,Q1,North America,Semi,514,112438.74,33,Long Range,AWD,Silver,478,56,21.13,1179.19,4.41,6,1,2021.2,True,3094446,11,0.0471,1.5,66.29
2022,Q4,Europe,Semi,2302,93920.3,54,Performance,AWD,Red,429,39,20.88,3078.19,3.73,8,1,2020.6,False,2587278,10,0.0844,2.15,75.51
2019,Q1,South America,Model 3,576,107578.54,51,Long Range,RWD,Green,480,68,21.75,610.61,3.96,4,2,2021.10,True,3922413,3,0.0534,1.6,67.56
2019,Q2,North America,Model X,3570,41674.43,11,Long Range,RWD,Silver,374,81,16.26,7501.35,4.43,5,3,2023.7,False,4644596,10,0.0515,1.44,68.8
2017,Q3,Australia,Model X,617,55026.01,0,Standard,AWD,Green,647,74,24.8,821.78,4.84,4,2,2024.7,True,3905730,7,0.0697,0.63,80.95
2015,Q3,Australia,Model 3,4276,86238.9,7,Standard,RWD,Silver,496,80,16.54,7303.77,4.13,6,3,2020.2,False,3535885,10,0.0823,0.77,63.97
2015,Q1,Australia,Model S,3481,63499.47,16,Performance,AWD,White,468,36,17.55,2654.75,3.7,6,1,2021.1,True,3790925,12,0.0259,2.27,79.52
2024,Q4,North America,Cybertruck,3440,89037.88,10,Long Range,RWD,Blue,530,56,15.26,2150.87,4.71,5,0,2021.9,True,4223359,10,0.0863,1.62,74.65
2024,Q1,Australia,Model Y,685,62110.75,56,Long Range,RWD,Silver,611,51,19.16,858.59,4.03,6,2,2020.9,True,1486195,12,0.0869,1.86,65.28
2014,Q1,Europe,Semi,4336,94915.9,24,Long Range,AWD,White,664,47,17.68,10166.55,4.41,6,1,2024.9,True,4567903,6,0.0504,0.57,64.62
2015,Q1,Europe,Semi,1422,104231.76,34,Performance,RWD,Red,435,43,21.95,3321.69,3.81,8,3,2024.7,False,1163474,9,0.0937,2.0,76.35
2014,Q4,South America,Semi,2818,50822.97,9,Performance,RWD,Green,543,31,21.67,2251.83,4.26,8,3,2024.4,False,3771119,3,0.0961,0.51,65.46
2020,Q2,Europe,Model X,2892,104127.6,48,Performance,RWD,Blue,474,51,23.69,2449.43,4.93,5,3,2023.11,True,569214,6,0.0398,1.18,70.69
2021,Q4,Europe,Model S,1080,100955.68,14,Performance,AWD,Black,631,52,22.79,2289.83,4.88,4,2,2021.5,True,1378365,7,0.0408,1.08,72.32
2021,Q2,South America,Model Y,3803,90185.32,18,Standard,AWD,Blue,594,65,19.45,9160.21,4.04,8,2,2023.11,False,2053259,10,0.0452,2.07,86.21
2018,Q1,Asia,Model X,4268,92052.27,57,Long Range,RWD,Blue,466,43,15.25,3656.1,4.77,5,2,2024.10,False,3054881,10,0.0519,1.88,60.87
2022,Q4,Europe,Model 3,2194,114901.43,37,Performance,RWD,Black,565,47,13.38,2907.4,4.45,6,1,2020.2,True,495929,5,0.0874,0.99,75.35
2023,Q1,Europe,Semi,4183,77397.92,55,Long Range,AWD,Silver,464,45,17.27,6690.49,3.58,4,0,2024.11,True,1081198,7,0.0837,0.91,68.41
2024,Q2,Asia,Model Y,3805,36799.95,40,Performance,RWD,Blue,434,62,22.2,2441.88,3.98,8,2,2024.7,False,3981240,11,0.0701,1.09,88.82
2017,Q3,South America,Cybertruck,3088,117982.32,1,Long Range,RWD,Green,472,74,20.55,2371.61,4.57,4,3,2020.5,False,2501029,3,0.0603,1.75,88.26
2023,Q3,Europe,Semi,3056,47190.04,59,Standard,RWD,Green,621,71,24.72,2530.52,4.64,8,2,2020.2,True,876209,6,0.0849,1.25,68.86
2016,Q3,Europe,Model S,1725,38430.62,51,Performance,AWD,Blue,672,54,22.18,3904.39,4.19,4,1,2022.1,True,3139830,12,0.0872,0.84,88.12
2024,Q2,Asia,Model X,128,97626.69,11,Performance,AWD,Blue,469,48,20.73,267.34,3.53,6,0,2021.12,True,4727804,2,0.0426,2.16,64.94
2019,Q3,South America,Cybertruck,550,95129.17,18,Long Range,RWD,Red,419,81,23.93,535.33,3.73,6,3,2020.2,True,1055070,5,0.082,1.98,81.9
2015,Q3,South America,Semi,3055,75204.28,12,Standard,RWD,Green,440,87,18.54,4868.84,3.63,8,1,2022.3,True,1077249,4,0.0123,0.83,62.59
2023,Q2,South America,Model S,1883,38351.85,18,Performance,RWD,Silver,367,40,20.42,4522.17,3.58,4,3,2023.5,False,1423582,5,0.0205,1.64,80.28
2021,Q1,South America,Model 3,624,92009.6,12,Long Range,RWD,Silver,455,36,18.31,501.2,4.64,8,3,2020.5,True,4162209,3,0.011,1.81,80.72
2021,Q1,South America,Model S,4196,102420.6,30,Long Range,AWD,White,365,37,15.87,3826.28,3.74,5,2,2022.10,False,3705904,2,0.0962,0.65,86.83
2019,Q4,Asia,Model S,4112,73571.47,48,Performance,AWD,White,684,59,14.82,2674.79,4.07,5,0,2023.1,True,4273023,12,0.0553,0.65,79.57
2022,Q1,Asia,Semi,3650,118007.07,1,Standard,RWD,Black,380,57,17.79,5195.09,3.52,6,3,2024.7,False,2159943,4,0.0988,1.0,80.7
2012,Q1,Australia,Model S,2657,79447.77,0,Standard,RWD,Red,490,71,13.58,3564.93,3.87,5,2,2021.1,False,2932373,10,0.08,1.09,86.45
2020,Q2,South America,Semi,1451,55689.5,21,Performance,AWD,Silver,602,41,14.71,3194.86,3.99,5,2,2024.6,False,3086937,7,0.0999,0.73,78.61
2013,Q4,North America,Model 3,2596,79147.32,10,Standard,RWD,Blue,627,65,23.91,4142.2,4.23,8,1,2021.4,True,372978,6,0.0725,1.32,73.17
2020,Q3,Australia,Model Y,2290,78967.16,47,Long Range,RWD,Red,551,44,18.89,1549.58,3.56,5,0,2023.6,False,1514797,11,0.0498,1.3,63.65
2017,Q3,North America,Cybertruck,897,44427.19,49,Long Range,RWD,Red,539,58,15.14,650.76,3.97,5,3,2020.2,False,4621585,8,0.0206,1.11,87.52
2015,Q4,North America,Model S,4280,86643.6,25,Performance,AWD,White,524,51,21.51,4447.89,4.96,6,1,2023.9,True,3285782,10,0.0778,2.35,88.29
2015,Q4,Australia,Model S,2236,103591.16,12,Long Range,RWD,Green,511,47,24.9,4908.47,4.03,8,3,2020.1,True,158261,3,0.0183,2.41,79.31
2014,Q2,Australia,Model 3,1856,117337.3,24,Performance,RWD,White,414,74,14.19,4110.08,4.95,8,1,2023.9,True,4588570,7,0.0692,2.25,88.27
2017,Q4,North America,Cybertruck,1636,56984.21,49,Performance,AWD,Blue,699,88,23.88,926.45,3.67,5,3,2022.1,True,2407660,10,0.0666,1.62,65.66
2023,Q4,Australia,Model S,177,93737.33,11,Long Range,RWD,Green,688,66,17.02,339.78,3.96,5,2,2022.5,False,3688199,11,0.0396,0.78,62.54
2023,Q4,Asia,Model Y,1118,75345.31,10,Performance,AWD,Red,407,56,24.6,2219.2,4.99,4,3,2021.5,False,3966789,11,0.0696,1.07,82.54
2021,Q2,Europe,Model X,1012,104369.75,45,Standard,AWD,Black,566,47,23.91,1547.12,4.23,4,0,2020.2,False,207032,9,0.0601,2.39,63.76
2023,Q3,Asia,Model Y,3368,115923.3,47,Performance,AWD,Red,488,85,24.99,8059.53,4.35,6,0,2022.3,True,2728815,7,0.0796,2.07,86.61
2020,Q2,Europe,Model Y,1434,92332.75,51,Long Range,RWD,Blue,687,61,19.89,2308.15,4.49,4,1,2023.6,False,2397797,12,0.0511,1.92,62.88
2013,Q3,South America,Cybertruck,1114,110100.17,46,Standard,RWD,Red,695,86,19.26,1881.59,3.61,4,3,2024.2,True,3594038,3,0.0168,2.37,67.73
2018,Q1,North America,Cybertruck,4185,55494.98,48,Performance,RWD,White,505,41,21.78,4620.02,4.88,5,2,2021.4,False,4150462,6,0.0604,2.18,81.84
2019,Q1,North America,Model Y,4640,82643.32,7,Performance,AWD,White,474,41,17.01,3199.81,3.63,4,1,2021.7,False,4896197,11,0.0154,1.32,72.18
2023,Q1,Europe,Cybertruck,3575,65649.79,46,Standard,AWD,Silver,681,53,18.51,4718.05,4.1,5,0,2020.1,True,4062665,2,0.0849,2.0,85.28
2012,Q4,North America,Model 3,4042,79215.91,3,Performance,RWD,Green,572,78,22.69,6710.05,3.75,8,0,2024.9,True,2389774,10,0.0344,0.81,80.86
2018,Q4,Asia,Cybertruck,3656,108544.71,59,Performance,AWD,Silver,559,52,13.71,5299.53,3.93,6,2,2023.6,False,1217628,8,0.0524,1.22,68.29
2024,Q2,South America,Model S,3709,119824.53,17,Long Range,RWD,Silver,529,30,23.31,7836.86,3.79,6,1,2021.1,True,3769708,4,0.0457,2.48,66.77
2015,Q2,Australia,Semi,2144,64351.63,60,Long Range,RWD,Black,473,30,20.34,4141.12,3.55,8,2,2020.12,False,2005055,7,0.0178,1.53,64.4
2014,Q3,Australia,Model Y,3970,66288.16,8,Long Range,AWD,Blue,674,66,20.12,2181.3,4.58,6,1,2023.12,False,1852095,5,0.0222,1.37,66.51
2016,Q2,Europe,Cybertruck,2957,94257.92,10,Performance,AWD,Blue,421,87,22.44,6534.15,3.83,5,1,2022.10,True,955697,2,0.031,0.96,74.15
2024,Q1,North America,Cybertruck,4834,61536.5,41,Standard,RWD,Red,454,77,18.35,4999.3,3.79,5,0,2024.9,True,4574275,6,0.043,1.77,89.05
2014,Q3,Australia,Cybertruck,153,57897.49,14,Long Range,AWD,Silver,618,81,21.53,268.15,4.63,4,3,2023.10,False,4632815,2,0.0904,1.81,71.58
2017,Q3,Asia,Model X,1230,43148.02,31,Performance,AWD,Blue,667,72,14.89,1326.84,3.98,5,3,2021.11,False,4482164,10,0.0426,0.91,81.77
2014,Q2,South America,Model S,1860,86274.57,39,Performance,RWD,Green,694,63,23.35,3451.12,3.62,6,0,2021.3,True,4376589,7,0.0782,2.15,72.62
2017,Q3,North America,Semi,294,45860.18,0,Long Range,RWD,Blue,682,63,17.86,541.6,3.56,8,1,2022.8,False,4051296,3,0.0884,2.16,77.31
2020,Q4,Europe,Model 3,4633,84603.88,46,Performance,AWD,Green,350,44,19.33,4032.55,3.72,8,3,2021.3,True,2828431,7,0.0609,1.3,87.23
2019,Q3,Europe,Cybertruck,3446,54367.43,38,Long Range,RWD,Silver,497,30,15.41,5602.38,3.98,6,3,2022.7,False,1764185,3,0.0523,1.53,66.52
2012,Q2,North America,Model S,1249,97585.61,60,Long Range,AWD,Blue,693,54,15.66,2480.28,3.75,8,3,2021.12,True,1526162,5,0.0357,1.51,68.04
2015,Q1,Australia,Semi,3256,35432.51,6,Performance,AWD,Red,658,30,16.63,5010.32,4.09,4,3,2021.12,True,3567433,6,0.0374,2.01,83.21
2020,Q2,Australia,Cybertruck,2977,87193.21,40,Long Range,AWD,Blue,570,80,13.7,6347.5,4.51,5,3,2020.7,False,3168108,12,0.0955,0.71,68.57
2024,Q4,Europe,Semi,2277,70569.69,36,Long Range,RWD,Blue,459,74,24.52,2203.27,4.16,4,2,2021.9,True,2882962,8,0.0493,2.34,62.64
2015,Q4,South America,Model X,3731,72616.12,37,Performance,AWD,Blue,490,45,22.78,4512.72,4.41,8,2,2024.4,True,3414098,4,0.0772,0.62,67.19
2020,Q4,Asia,Model Y,1404,57543.51,14,Long Range,AWD,White,478,63,17.87,1628.57,5.0,5,0,2022.7,True,2072451,10,0.0507,0.51,76.38
2015,Q3,Asia,Model Y,2431,67449.67,0,Long Range,AWD,Black,594,55,16.11,2558.41,4.15,4,0,2023.2,True,1588301,3,0.0831,0.59,82.64
2023,Q4,Asia,Model X,4565,102035.37,45,Performance,AWD,Green,638,87,20.67,2669.66,4.74,4,2,2024.10,True,1902353,5,0.0436,2.19,72.48
2023,Q4,North America,Model S,1880,78828.12,20,Performance,AWD,Red,435,67,17.06,4153.23,3.79,4,0,2020.2,True,2568795,7,0.0871,0.69,76.26
2017,Q1,Australia,Semi,792,85807.68,38,Performance,AWD,Black,555,70,22.41,987.9,4.82,6,0,2024.2,True,4935095,8,0.0579,0.66,72.99
2022,Q4,North America,Model Y,113,80582.78,41,Long Range,AWD,Silver,454,75,14.96,245.34,4.94,6,0,2023.12,True,3644727,3,0.0238,1.68,66.23
2014,Q1,Europe,Model X,4772,65006.22,8,Standard,RWD,Red,690,33,24.32,10277.4,4.22,4,3,2023.6,False,3332607,4,0.0745,1.01,60.21
2018,Q1,North America,Semi,1535,111934.81,50,Performance,AWD,Green,366,71,15.75,950.3,4.08,6,0,2023.6,False,882677,4,0.0199,1.61,61.44
2022,Q1,South America,Model S,1044,91714.16,8,Performance,AWD,Green,664,84,20.3,984.81,3.59,6,2,2024.12,False,4972180,4,0.0154,2.08,66.63
2024,Q3,Asia,Cybertruck,3576,82172.58,44,Performance,AWD,Red,648,75,17.64,2558.54,4.64,4,2,2022.1,False,1469669,3,0.0159,2.01,85.28
2024,Q4,North America,Cybertruck,1053,69420.6,17,Standard,AWD,White,480,77,22.55,1383.79,3.56,4,3,2020.5,True,4728924,5,0.0346,1.63,67.91
2021,Q3,North America,Model Y,144,85202.92,51,Performance,RWD,Silver,367,56,22.93,271.39,4.19,6,3,2023.10,True,4683384,7,0.0614,0.58,67.74
2021,Q3,North America,Model X,1222,91538.22,42,Standard,RWD,Silver,533,59,24.16,3047.21,4.16,8,1,2022.4,False,3909597,8,0.0777,1.71,86.34
2024,Q3,Europe,Model S,834,68213.42,54,Long Range,RWD,Black,618,70,17.81,1199.98,3.94,8,2,2024.1,True,3349918,4,0.0648,1.39,71.64
2013,Q4,Australia,Model 3,4474,68916.49,0,Standard,RWD,Silver,617,38,16.24,10659.12,4.81,8,3,2020.2,False,3200242,8,0.0242,1.5,74.73
2022,Q3,North America,Model 3,565,111231.91,52,Long Range,AWD,Black,394,75,24.25,646.69,3.91,5,2,2021.6,False,383924,2,0.0569,1.99,75.67
2021,Q3,South America,Model Y,562,73472.38,6,Long Range,AWD,White,426,30,20.51,1301.81,4.85,6,1,2020.4,True,4420431,6,0.0434,1.33,69.88
2021,Q2,Asia,Semi,1273,55587.03,8,Performance,AWD,Red,659,35,23.6,2982.27,4.37,6,1,2020.5,True,2457512,2,0.0827,1.58,83.7
2020,Q2,Asia,Semi,1662,92877.68,40,Long Range,RWD,Silver,628,39,21.27,1840.62,4.63,4,0,2023.9,True,2013324,3,0.0295,1.75,76.98
2022,Q1,South America,Model S,176,116609.7,51,Performance,RWD,Black,509,40,24.68,209.02,4.19,8,1,2022.6,False,3888786,6,0.0799,2.24,86.01
2018,Q2,Asia,Cybertruck,4331,115779.77,9,Standard,RWD,Green,426,50,16.73,8643.39,3.69,6,1,2022.2,True,4008597,10,0.0712,2.01,76.61
2017,Q1,Europe,Model X,2805,66069.49,35,Performance,AWD,Silver,591,40,13.09,2872.3,4.1,8,3,2023.12,True,4565062,4,0.0586,2.44,68.98
2023,Q4,North America,Semi,1109,39727.32,30,Long Range,AWD,Red,700,83,22.86,2144.32,4.09,6,1,2020.6,True,3422999,4,0.0186,1.81,74.42
2016,Q1,Asia,Model X,1851,35322.38,52,Standard,AWD,Blue,391,47,24.06,2241.46,4.39,8,2,2022.12,False,2716310,6,0.0938,0.93,77.85
2021,Q4,North America,Model S,3018,54276.44,52,Standard,RWD,Silver,580,40,20.47,6591.31,4.2,4,0,2020.12,True,2637927,5,0.0365,1.7,74.89
2023,Q3,South America,Semi,3436,88286.41,46,Performance,AWD,Blue,612,55,13.64,6600.93,4.9,5,0,2022.10,True,4287098,11,0.033,1.41,89.33
2015,Q2,Australia,Model X,4828,108736.26,60,Standard,AWD,Red,432,40,15.23,10823.83,3.98,4,3,2020.5,False,1834256,12,0.0206,1.12,88.25
2023,Q2,Australia,Cybertruck,3845,61320.59,30,Performance,RWD,White,353,59,13.22,5019.18,4.12,6,3,2020.1,False,3267749,4,0.0246,2.48,85.57
2013,Q2,South America,Model 3,1040,84387.42,59,Standard,RWD,Silver,434,60,19.67,1064.11,4.16,8,2,2021.10,True,1757264,2,0.0916,1.94,70.8
2021,Q4,South America,Model 3,350,111511.39,25,Performance,RWD,Red,489,64,17.23,337.13,3.77,6,2,2021.6,False,4950947,10,0.0182,2.43,79.73
2024,Q4,Asia,Model S,1311,117184.08,11,Standard,AWD,Blue,470,59,19.69,887.15,4.64,4,2,2024.12,True,3256337,6,0.0663,1.56,62.49
2018,Q3,South America,Model X,3010,97739.61,52,Performance,RWD,Silver,482,40,13.88,2990.4,4.36,5,0,2021.7,True,3404080,7,0.0619,0.85,71.99
2018,Q4,Australia,Model Y,3049,83276.26,23,Performance,RWD,Red,456,83,22.31,2069.04,3.89,4,2,2021.9,True,4694657,12,0.059,1.1,72.97
2019,Q2,Europe,Model 3,156,92764.03,31,Long Range,AWD,White,364,32,14.13,103.58,4.41,6,2,2024.1,False,2474469,4,0.0774,1.33,67.53
2021,Q2,North America,Model X,4842,86315.25,5,Standard,RWD,Red,546,79,22.83,10393.97,4.74,4,2,2024.10,True,2974163,9,0.0302,1.82,60.8
2019,Q4,Australia,Semi,1943,67903.88,11,Standard,RWD,Red,373,81,15.17,1724.11,3.77,6,1,2021.1,False,4369106,8,0.0611,1.38,64.75
2016,Q3,South America,Model Y,898,91488.71,48,Performance,RWD,White,699,58,20.42,730.89,4.81,8,0,2020.2,False,2685825,12,0.0657,2.17,74.0
2019,Q2,Europe,Semi,3439,35391.2,37,Long Range,RWD,Blue,610,65,21.25,7686.05,4.53,8,0,2020.9,False,4078572,5,0.0948,1.5,89.59
2019,Q3,Europe,Semi,1643,119393.05,26,Long Range,RWD,Blue,376,40,17.59,1315.65,4.09,8,3,2022.10,False,2313231,7,0.0566,1.81,71.62
2021,Q3,South America,Semi,2221,117657.99,47,Standard,RWD,White,671,81,21.86,2332.39,4.17,6,2,2020.12,True,2223892,2,0.0797,0.98,74.85
2021,Q1,South America,Semi,2285,92734.22,47,Performance,RWD,White,466,71,20.48,2663.24,3.54,8,2,2022.9,True,4143639,10,0.0107,0.96,66.48
2023,Q3,Australia,Cybertruck,1594,50855.02,38,Standard,AWD,Blue,657,54,16.64,3157.18,3.56,6,0,2023.4,False,1853486,2,0.0971,2.25,62.62
2012,Q4,Europe,Model 3,2159,106266.64,20,Standard,AWD,Green,422,56,17.33,2074.63,4.3,8,1,2021.5,False,4019821,6,0.0683,1.03,89.5
2024,Q4,Australia,Semi,355,56049.4,54,Standard,RWD,Black,642,69,18.69,256.64,4.39,4,2,2020.1,True,277404,4,0.0665,1.37,74.49
